OrderNumber,OrderDate,CUSTOMER_INDEX,Channel,Warehouse Code,Delivery Region Index,PRODUCT_INDEX,ORDER_QTY,UNIT_PRICE_USD,TOTAL_REVENUE_USD
SO - 0001709,29-10-2013,17,Distributor,FLR025,62,5,6,5319.8,31918.8
SO - 0001710,29-10-2013,43,Export,NXH382,59,2,6,3926.2,23557.2
SO - 0001711,29-10-2013,36,Export,NXH382,57,9,7,1038.5,7269.5
SO - 0001712,29-10-2013,45,Distributor,FLR025,63,1,6,5038.4,30230.4
SO - 0001713,29-10-2013,11,Distributor,AXW291,26,9,11,1058.6,11644.6
SO - 0001714,29-10-2013,6,Distributor,NXH382,56,2,9,221.1,1989.9
SO - 0001715,29-10-2013,24,Wholesale,AXW291,26,7,6,3296.4,19778.4
SO - 0001716,29-10-2013,7,Export,AXW291,30,10,9,5648.1,50832.9
SO - 0001717,29-10-2013,8,Export,NXH382,56,2,6,1118.9,6713.4
SO - 0001718,29-10-2013,25,Export,NXH382,55,1,10,2680,26800
SO - 0001719,30-10-2013,42,Export,GUT930,42,12,9,3865.9,34793.1
SO - 0001720,30-10-2013,35,Export,AXW291,28,1,7,951.4,6659.8
SO - 0001721,30-10-2013,39,Wholesale,AXW291,10,13,11,5621.3,61834.3
SO - 0001722,30-10-2013,3,Wholesale,GUT930,45,7,6,3999.9,23999.4
SO - 0001723,30-10-2013,12,Wholesale,AXW291,9,2,11,6398.5,70383.5
SO - 0001724,30-10-2013,30,Wholesale,AXW291,1,9,11,1038.5,11423.5
SO - 0001725,30-10-2013,50,Wholesale,AXW291,21,14,8,6525.8,52206.4
SO - 0001726,30-10-2013,40,Distributor,GUT930,39,9,9,1092.1,9828.9
SO - 0001727,30-10-2013,9,Wholesale,AXW291,23,5,12,3879.3,46551.6
SO - 0001728,31-10-2013,31,Wholesale,GUT930,45,4,5,2599.6,12998
SO - 0001729,31-10-2013,33,Wholesale,GUT930,37,7,5,850.9,4254.5
SO - 0001730,31-10-2013,47,Wholesale,AXW291,19,2,5,1031.8,5159
SO - 0001731,31-10-2013,26,Wholesale,AXW291,15,7,7,194.3,1360.1
SO - 0001732,31-10-2013,27,Distributor,AXW291,29,1,11,2331.6,25647.6
SO - 0001733,31-10-2013,20,Wholesale,AXW291,29,2,5,3001.6,15008
SO - 0001734,31-10-2013,25,Distributor,AXW291,25,12,10,207.7,2077
SO - 0001735,31-10-2013,41,Distributor,FLR025,65,11,7,743.7,5205.9
SO - 0001736,31-10-2013,46,Distributor,AXW291,23,1,10,207.7,2077
SO - 0001737,31-10-2013,32,Export,AXW291,24,8,8,5768.7,46149.6
SO - 0001738,01-11-2013,49,Wholesale,FLR025,65,7,9,1916.2,17245.8
SO - 0001739,01-11-2013,8,Wholesale,AXW291,20,7,11,2633.1,28964.1
SO - 0001740,01-11-2013,45,Wholesale,AXW291,18,1,5,1065.3,5326.5
SO - 0001741,01-11-2013,48,Wholesale,AXW291,16,7,9,2257.9,20321.1
SO - 0001742,02-11-2013,20,Distributor,GUT930,44,8,10,991.6,9916
SO - 0001743,02-11-2013,49,Wholesale,GUT930,35,10,10,2338.3,23383
SO - 0001744,02-11-2013,21,Wholesale,FLR025,62,5,9,2988.2,26893.8
SO - 0001745,02-11-2013,35,Wholesale,AXW291,30,13,5,1118.9,5594.5
SO - 0001746,03-11-2013,29,Wholesale,GUT930,39,7,6,2485.7,14914.2
SO - 0001747,03-11-2013,20,Distributor,AXW291,21,5,11,2847.5,31322.5
SO - 0001748,03-11-2013,25,Wholesale,AXW291,12,2,12,3296.4,39556.8
SO - 0001749,03-11-2013,38,Export,AXW291,6,5,10,971.5,9715
SO - 0001750,03-11-2013,34,Wholesale,NXH382,54,1,7,194.3,1360.1
SO - 0001751,03-11-2013,27,Distributor,GUT930,31,11,11,5969.7,65666.7
SO - 0001752,03-11-2013,1,Export,AXW291,30,10,6,1078.7,6472.2
SO - 0001753,03-11-2013,33,Wholesale,AXW291,23,7,9,2412,21708
SO - 0001754,03-11-2013,45,Distributor,AXW291,4,11,11,1159.1,12750.1
SO - 0001755,04-11-2013,17,Wholesale,FLR025,64,5,5,1882.7,9413.5
SO - 0001756,04-11-2013,23,Distributor,GUT930,40,13,10,1949.7,19497
SO - 0001757,04-11-2013,46,Export,AXW291,19,5,9,1098.8,9889.2
SO - 0001758,04-11-2013,27,Distributor,GUT930,31,13,6,3155.7,18934.2
SO - 0001759,04-11-2013,24,Export,AXW291,23,5,9,2680,24120
SO - 0001760,05-11-2013,10,Distributor,NXH382,56,9,11,5956.3,65519.3
SO - 0001761,05-11-2013,29,Export,NXH382,47,7,6,2010,12060
SO - 0001762,05-11-2013,12,Distributor,NXH382,59,7,7,1319.9,9239.3
SO - 0001763,05-11-2013,26,Wholesale,AXW291,14,1,7,1775.5,12428.5
SO - 0001764,06-11-2013,38,Wholesale,AXW291,8,9,9,187.6,1688.4
SO - 0001765,06-11-2013,3,Export,GUT930,31,7,9,1139,10251
SO - 0001766,06-11-2013,28,Distributor,AXW291,9,8,7,1005,7035
SO - 0001767,07-11-2013,23,Distributor,AXW291,11,13,11,2385.2,26237.2
SO - 0001768,07-11-2013,26,Export,GUT930,33,2,7,1085.4,7597.8
SO - 0001769,07-11-2013,13,Distributor,NXH382,56,1,6,1809,10854
SO - 0001770,07-11-2013,33,Export,GUT930,45,9,5,897.8,4489
SO - 0001771,07-11-2013,17,Wholesale,NXH382,52,1,10,1246.2,12462
SO - 0001772,07-11-2013,32,Wholesale,AXW291,4,5,10,1118.9,11189
SO - 0001773,08-11-2013,42,Export,AXW291,16,1,7,1018.4,7128.8
SO - 0001774,08-11-2013,17,Wholesale,GUT930,40,1,5,5105.4,25527
SO - 0001775,08-11-2013,13,Wholesale,FLR025,66,9,6,1159.1,6954.6
SO - 0001776,08-11-2013,7,Distributor,NXH382,52,11,9,1916.2,17245.8
SO - 0001777,08-11-2013,41,Wholesale,AXW291,12,7,10,247.9,2479
SO - 0001778,09-11-2013,18,Wholesale,GUT930,40,9,10,884.4,8844
SO - 0001779,09-11-2013,29,Wholesale,GUT930,44,5,7,1139,7973
SO - 0001780,09-11-2013,13,Wholesale,FLR025,62,1,5,174.2,871
SO - 0001781,09-11-2013,20,Distributor,GUT930,34,2,6,951.4,5708.4
SO - 0001782,09-11-2013,45,Wholesale,GUT930,35,1,9,167.5,1507.5
SO - 0001783,09-11-2013,17,Wholesale,AXW291,26,7,7,5138.9,35972.3
SO - 0001784,10-11-2013,12,Distributor,GUT930,33,7,9,214.4,1929.6
SO - 0001785,10-11-2013,5,Export,NXH382,54,1,11,1011.7,11128.7
SO - 0001786,10-11-2013,16,Distributor,FLR025,60,5,5,1159.1,5795.5
SO - 0001787,10-11-2013,48,Wholesale,GUT930,41,2,10,1058.6,10586
SO - 0001788,10-11-2013,2,Distributor,FLR025,64,7,8,1869.3,14954.4
SO - 0001789,11-11-2013,47,Distributor,AXW291,10,5,6,1762.1,10572.6
SO - 0001790,11-11-2013,10,Wholesale,NXH382,59,7,8,2492.4,19939.2
SO - 0001791,11-11-2013,12,Wholesale,FLR025,63,10,11,3919.5,43114.5
SO - 0001792,11-11-2013,31,Distributor,AXW291,26,11,7,2519.2,17634.4
SO - 0001793,11-11-2013,10,Distributor,FLR025,65,8,7,3872.6,27108.2
SO - 0001794,11-11-2013,32,Wholesale,AXW291,27,5,6,1855.9,11135.4
SO - 0001795,12-11-2013,26,Wholesale,GUT930,46,11,9,4006.6,36059.4
SO - 0001796,12-11-2013,13,Wholesale,GUT930,38,1,9,1721.9,15497.1
SO - 0001797,12-11-2013,6,Export,AXW291,26,11,8,1038.5,8308
SO - 0001798,12-11-2013,35,Export,GUT930,33,13,9,241.2,2170.8
SO - 0001799,12-11-2013,8,Distributor,NXH382,50,1,8,1051.9,8415.2
SO - 0001800,13-11-2013,9,Distributor,GUT930,45,1,6,180.9,1085.4
SO - 0001801,13-11-2013,2,Distributor,GUT930,35,13,7,268,1876
SO - 0001802,13-11-2013,9,Distributor,AXW291,1,13,9,1159.1,10431.9
SO - 0001803,13-11-2013,12,Export,GUT930,43,11,12,951.4,11416.8
SO - 0001804,13-11-2013,25,Wholesale,NXH382,59,1,6,4006.6,24039.6
SO - 0001805,13-11-2013,33,Distributor,AXW291,22,1,11,5648.1,62129.1
SO - 0001806,13-11-2013,37,Export,AXW291,31,5,10,3926.2,39262
SO - 0001807,13-11-2013,24,Wholesale,FLR025,60,1,8,5326.5,42612
SO - 0001808,13-11-2013,17,Wholesale,GUT930,35,5,9,5467.2,49204.8
SO - 0001809,13-11-2013,37,Wholesale,AXW291,31,10,9,2546,22914
SO - 0001810,14-11-2013,50,Export,AXW291,13,1,10,1072,10720
SO - 0001811,14-11-2013,24,Wholesale,GUT930,38,2,9,1112.2,10009.8
SO - 0001812,14-11-2013,10,Wholesale,AXW291,16,7,12,2780.5,33366
SO - 0001813,14-11-2013,39,Distributor,GUT930,34,2,10,2646.5,26465
SO - 0001814,14-11-2013,10,Wholesale,NXH382,50,7,11,214.4,2358.4
SO - 0001815,14-11-2013,8,Wholesale,AXW291,4,1,9,1125.6,10130.4
SO - 0001816,15-11-2013,32,Export,GUT930,37,2,12,1842.5,22110
SO - 0001817,15-11-2013,12,Distributor,AXW291,30,14,8,1125.6,9004.8
SO - 0001818,15-11-2013,42,Wholesale,GUT930,35,5,9,6224.3,56018.7
SO - 0001819,15-11-2013,24,Wholesale,AXW291,17,2,12,2224.4,26692.8
SO - 0001820,15-11-2013,6,Wholesale,GUT930,43,2,12,1192.6,14311.2
SO - 0001821,15-11-2013,36,Wholesale,AXW291,22,11,11,6097,67067
SO - 0001822,15-11-2013,42,Distributor,GUT930,43,4,8,1031.8,8254.4
SO - 0001823,15-11-2013,18,Export,NXH382,55,11,5,2425.4,12127
SO - 0001824,15-11-2013,9,Wholesale,AXW291,23,9,5,1031.8,5159
SO - 0001825,15-11-2013,35,Wholesale,AXW291,18,3,12,897.8,10773.6
SO - 0001826,16-11-2013,33,Wholesale,AXW291,9,4,7,2458.9,17212.3
SO - 0001827,16-11-2013,45,Distributor,NXH382,54,13,7,2358.4,16508.8
SO - 0001828,16-11-2013,41,Wholesale,AXW291,24,11,11,1788.9,19677.9
SO - 0001829,16-11-2013,12,Export,GUT930,39,13,6,3912.8,23476.8
SO - 0001830,16-11-2013,45,Wholesale,AXW291,17,13,11,6143.9,67582.9
SO - 0001831,16-11-2013,42,Distributor,AXW291,27,11,8,2827.4,22619.2
SO - 0001832,16-11-2013,7,Export,NXH382,59,9,11,1058.6,11644.6
SO - 0001833,16-11-2013,5,Wholesale,AXW291,22,13,10,1065.3,10653
SO - 0001834,17-11-2013,5,Distributor,AXW291,15,5,9,1112.2,10009.8
SO - 0001835,17-11-2013,13,Wholesale,AXW291,6,1,10,3832.4,38324
SO - 0001836,17-11-2013,12,Export,AXW291,21,2,8,857.6,6860.8
SO - 0001837,17-11-2013,4,Export,FLR025,63,1,6,5460.5,32763
SO - 0001838,17-11-2013,30,Wholesale,AXW291,3,12,10,2566.1,25661
SO - 0001839,17-11-2013,25,Export,FLR025,62,7,12,2653.2,31838.4
SO - 0001840,17-11-2013,15,Wholesale,AXW291,13,2,12,884.4,10612.8
SO - 0001841,18-11-2013,31,Export,AXW291,15,10,8,3805.6,30444.8
SO - 0001842,18-11-2013,1,Wholesale,GUT930,41,2,10,1152.4,11524
SO - 0001843,18-11-2013,23,Distributor,AXW291,13,2,10,3832.4,38324
SO - 0001844,18-11-2013,5,Distributor,GUT930,42,4,7,871,6097
SO - 0001845,19-11-2013,27,Wholesale,GUT930,34,9,10,1809,18090
SO - 0001846,19-11-2013,30,Wholesale,AXW291,17,2,12,1969.8,23637.6
SO - 0001847,19-11-2013,46,Wholesale,AXW291,8,11,5,1038.5,5192.5
SO - 0001848,19-11-2013,25,Wholesale,GUT930,45,1,10,3651.5,36515
SO - 0001849,19-11-2013,13,Wholesale,AXW291,10,2,6,1949.7,11698.2
SO - 0001850,19-11-2013,50,Wholesale,AXW291,11,5,12,991.6,11899.2
SO - 0001851,19-11-2013,17,Export,AXW291,2,11,9,2740.3,24662.7
SO - 0001852,19-11-2013,23,Distributor,AXW291,12,11,6,1902.8,11416.8
SO - 0001853,20-11-2013,47,Wholesale,AXW291,15,11,8,2365.1,18920.8
SO - 0001854,20-11-2013,23,Wholesale,GUT930,33,7,8,1051.9,8415.2
SO - 0001855,20-11-2013,39,Wholesale,GUT930,44,11,11,2860.9,31469.9
SO - 0001856,20-11-2013,7,Wholesale,NXH382,49,2,8,5835.7,46685.6
SO - 0001857,20-11-2013,12,Wholesale,AXW291,31,1,5,1152.4,5762
SO - 0001858,20-11-2013,41,Distributor,AXW291,22,12,8,897.8,7182.4
SO - 0001859,21-11-2013,5,Wholesale,NXH382,49,2,8,1112.2,8897.6
SO - 0001860,21-11-2013,12,Distributor,FLR025,66,1,12,3825.7,45908.4
SO - 0001861,21-11-2013,3,Wholesale,GUT930,31,13,12,1963.1,23557.2
SO - 0001862,21-11-2013,12,Wholesale,AXW291,13,2,6,2365.1,14190.6
SO - 0001863,21-11-2013,20,Distributor,NXH382,52,13,9,958.1,8622.9
SO - 0001864,21-11-2013,36,Distributor,AXW291,12,5,8,1855.9,14847.2
SO - 0001865,21-11-2013,30,Wholesale,AXW291,11,13,12,1708.5,20502
SO - 0001866,22-11-2013,45,Wholesale,GUT930,42,11,11,2586.2,28448.2
SO - 0001867,22-11-2013,40,Wholesale,AXW291,15,1,12,2566.1,30793.2
SO - 0001868,22-11-2013,32,Wholesale,NXH382,55,7,8,3202.6,25620.8
SO - 0001869,22-11-2013,37,Distributor,GUT930,32,5,12,6545.9,78550.8
SO - 0001870,22-11-2013,49,Distributor,AXW291,7,11,5,5226,26130
SO - 0001871,23-11-2013,14,Wholesale,NXH382,48,11,7,904.5,6331.5
SO - 0001872,23-11-2013,16,Export,NXH382,55,2,5,2237.8,11189
SO - 0001873,23-11-2013,30,Distributor,AXW291,24,5,6,1072,6432
SO - 0001874,23-11-2013,48,Distributor,AXW291,12,14,9,1092.1,9828.9
SO - 0001875,23-11-2013,48,Wholesale,GUT930,46,2,10,3825.7,38257
SO - 0001876,23-11-2013,36,Wholesale,GUT930,43,1,7,214.4,1500.8
SO - 0001877,24-11-2013,17,Export,NXH382,59,1,7,6566,45962
SO - 0001878,24-11-2013,6,Distributor,NXH382,54,1,6,1835.8,11014.8
SO - 0001879,24-11-2013,26,Wholesale,AXW291,15,12,7,2432.1,17024.7
SO - 0001880,24-11-2013,5,Wholesale,NXH382,60,14,7,1876,13132
SO - 0001881,24-11-2013,15,Wholesale,NXH382,55,11,12,1011.7,12140.4
SO - 0001882,24-11-2013,18,Wholesale,AXW291,9,7,12,1038.5,12462
SO - 0001883,25-11-2013,46,Wholesale,AXW291,6,1,10,958.1,9581
SO - 0001884,25-11-2013,43,Export,AXW291,6,4,5,2445.5,12227.5
SO - 0001885,25-11-2013,11,Wholesale,AXW291,17,2,8,3899.4,31195.2
SO - 0001886,25-11-2013,4,Distributor,AXW291,15,9,7,1005,7035
SO - 0001887,25-11-2013,19,Distributor,AXW291,5,9,9,1775.5,15979.5
SO - 0001888,25-11-2013,39,Distributor,GUT930,40,5,11,1125.6,12381.6
SO - 0001889,25-11-2013,49,Distributor,GUT930,33,1,8,1098.8,8790.4
SO - 0001890,25-11-2013,33,Wholesale,AXW291,20,5,6,1936.3,11617.8
SO - 0001891,26-11-2013,24,Distributor,GUT930,41,1,12,3926.2,47114.4
SO - 0001892,26-11-2013,14,Distributor,AXW291,1,5,6,3155.7,18934.2
SO - 0001893,26-11-2013,12,Wholesale,AXW291,31,7,5,3999.9,19999.5
SO - 0001894,26-11-2013,37,Wholesale,AXW291,6,7,10,1092.1,10921
SO - 0001895,26-11-2013,38,Wholesale,GUT930,36,1,6,1005,6030
SO - 0001896,26-11-2013,9,Wholesale,GUT930,39,7,8,254.6,2036.8
SO - 0001897,26-11-2013,36,Wholesale,FLR025,61,5,6,897.8,5386.8
SO - 0001898,26-11-2013,8,Wholesale,GUT930,33,13,12,1748.7,20984.4
SO - 0001899,27-11-2013,14,Wholesale,AXW291,16,14,11,1105.5,12160.5
SO - 0001900,27-11-2013,25,Distributor,FLR025,66,5,12,5842.4,70108.8
SO - 0001901,27-11-2013,16,Distributor,AXW291,22,8,6,1179.2,7075.2
SO - 0001902,27-11-2013,45,Wholesale,AXW291,30,11,5,2579.5,12897.5
SO - 0001903,27-11-2013,34,Wholesale,FLR025,62,5,12,924.6,11095.2
SO - 0001904,27-11-2013,33,Distributor,AXW291,30,9,8,3979.8,31838.4
SO - 0001905,27-11-2013,43,Wholesale,NXH382,51,9,9,2626.4,23637.6
SO - 0001906,27-11-2013,17,Wholesale,AXW291,9,10,11,1293.1,14224.1
SO - 0001907,27-11-2013,18,Wholesale,AXW291,16,5,10,1132.3,11323
SO - 0001908,27-11-2013,44,Distributor,NXH382,54,1,10,670,6700
SO - 0001909,27-11-2013,42,Wholesale,AXW291,6,5,12,6539.2,78470.4
SO - 0001910,27-11-2013,42,Wholesale,AXW291,15,9,10,3256.2,32562
SO - 0001911,28-11-2013,43,Distributor,AXW291,4,13,5,2579.5,12897.5
SO - 0001912,28-11-2013,36,Wholesale,AXW291,16,1,5,3852.5,19262.5
SO - 0001913,28-11-2013,26,Wholesale,AXW291,26,2,6,924.6,5547.6
SO - 0001914,28-11-2013,20,Distributor,NXH382,47,11,6,3906.1,23436.6
SO - 0001915,28-11-2013,33,Wholesale,GUT930,40,11,9,254.6,2291.4
SO - 0001916,28-11-2013,6,Wholesale,NXH382,60,13,8,1072,8576
SO - 0001917,28-11-2013,12,Distributor,NXH382,53,12,6,2653.2,15919.2
SO - 0001918,28-11-2013,39,Distributor,GUT930,42,2,9,3564.4,32079.6
SO - 0001919,28-11-2013,4,Distributor,NXH382,49,4,5,1078.7,5393.5
SO - 0001920,28-11-2013,19,Wholesale,FLR025,65,7,9,6224.3,56018.7
SO - 0001921,28-11-2013,2,Distributor,AXW291,18,9,11,1326.6,14592.6
SO - 0001922,29-11-2013,36,Wholesale,AXW291,21,11,6,221.1,1326.6
SO - 0001923,29-11-2013,25,Distributor,GUT930,40,7,12,6344.9,76138.8
SO - 0001924,29-11-2013,36,Wholesale,FLR025,63,7,6,1132.3,6793.8
SO - 0001925,30-11-2013,23,Wholesale,FLR025,63,11,11,757.1,8328.1
SO - 0001926,30-11-2013,21,Distributor,NXH382,48,2,9,1038.5,9346.5
SO - 0001927,30-11-2013,40,Distributor,AXW291,23,1,5,958.1,4790.5
SO - 0001928,30-11-2013,39,Wholesale,AXW291,8,5,9,1855.9,16703.1
SO - 0001929,30-11-2013,29,Wholesale,GUT930,34,2,11,2646.5,29111.5
SO - 0001930,30-11-2013,19,Distributor,AXW291,6,7,10,5453.8,54538
SO - 0001931,30-11-2013,5,Wholesale,AXW291,19,1,7,1782.2,12475.4
SO - 0001932,30-11-2013,29,Distributor,AXW291,23,1,12,1051.9,12622.8
SO - 0001933,30-11-2013,22,Distributor,FLR025,61,11,6,254.6,1527.6
SO - 0001934,30-11-2013,19,Wholesale,NXH382,57,4,12,2860.9,34330.8
SO - 0001935,30-11-2013,32,Distributor,AXW291,15,4,9,2887.7,25989.3
SO - 0001936,01-12-2013,31,Wholesale,AXW291,6,1,8,1085.4,8683.2
SO - 0001937,01-12-2013,27,Wholesale,AXW291,25,4,7,1031.8,7222.6
SO - 0001938,01-12-2013,35,Wholesale,NXH382,51,13,6,1172.5,7035
SO - 0001939,01-12-2013,4,Wholesale,FLR025,64,13,10,2010,20100
SO - 0001940,02-12-2013,16,Wholesale,GUT930,43,11,8,5279.6,42236.8
SO - 0001941,02-12-2013,34,Distributor,GUT930,32,11,12,1038.5,12462
SO - 0001942,03-12-2013,37,Export,AXW291,18,2,11,2860.9,31469.9
SO - 0001943,03-12-2013,42,Wholesale,AXW291,16,13,9,978.2,8803.8
SO - 0001944,03-12-2013,32,Distributor,NXH382,49,9,8,3718.5,29748
SO - 0001945,03-12-2013,4,Export,NXH382,50,7,12,5480.6,65767.2
SO - 0001946,03-12-2013,34,Distributor,AXW291,11,5,7,797.3,5581.1
SO - 0001947,03-12-2013,46,Distributor,NXH382,47,1,12,247.9,2974.8
SO - 0001948,03-12-2013,49,Wholesale,AXW291,10,12,6,1165.8,6994.8
SO - 0001949,03-12-2013,32,Distributor,AXW291,18,13,11,6425.3,70678.3
SO - 0001950,03-12-2013,28,Distributor,GUT930,32,11,5,1293.1,6465.5
SO - 0001951,04-12-2013,38,Wholesale,AXW291,21,6,10,6197.5,61975
SO - 0001952,04-12-2013,12,Wholesale,NXH382,59,11,6,5869.2,35215.2
SO - 0001953,04-12-2013,31,Distributor,GUT930,45,11,11,1098.8,12086.8
SO - 0001954,04-12-2013,25,Wholesale,GUT930,44,5,6,1072,6432
SO - 0001955,04-12-2013,26,Wholesale,NXH382,57,9,8,6532.5,52260
SO - 0001956,04-12-2013,19,Wholesale,AXW291,22,9,5,3946.3,19731.5
SO - 0001957,04-12-2013,17,Wholesale,AXW291,23,1,9,1031.8,9286.2
SO - 0001958,05-12-2013,15,Distributor,NXH382,57,1,5,5172.4,25862
SO - 0001959,05-12-2013,23,Export,NXH382,55,12,8,2512.5,20100
SO - 0001960,05-12-2013,42,Export,NXH382,55,2,11,2639.8,29037.8
SO - 0001961,05-12-2013,19,Export,NXH382,56,2,12,1051.9,12622.8
SO - 0001962,05-12-2013,5,Wholesale,NXH382,47,7,9,1051.9,9467.1
SO - 0001963,05-12-2013,33,Wholesale,GUT930,34,13,7,2003.3,14023.1
SO - 0001964,05-12-2013,33,Wholesale,AXW291,26,9,7,837.5,5862.5
SO - 0001965,05-12-2013,40,Wholesale,GUT930,43,11,7,5815.6,40709.2
SO - 0001966,05-12-2013,23,Wholesale,AXW291,7,2,10,1172.5,11725
SO - 0001967,05-12-2013,3,Distributor,AXW291,16,13,9,1118.9,10070.1
SO - 0001968,05-12-2013,23,Wholesale,NXH382,51,7,9,3845.8,34612.2
SO - 0001969,06-12-2013,40,Export,AXW291,5,10,6,2586.2,15517.2
SO - 0001970,06-12-2013,29,Wholesale,AXW291,25,7,7,5165.7,36159.9
SO - 0001971,06-12-2013,26,Distributor,AXW291,3,2,10,3155.7,31557
SO - 0001972,06-12-2013,43,Export,NXH382,47,5,7,2304.8,16133.6
SO - 0001973,06-12-2013,26,Wholesale,GUT930,33,2,7,3839.1,26873.7
SO - 0001974,07-12-2013,44,Wholesale,NXH382,48,9,8,1005,8040
SO - 0001975,07-12-2013,19,Wholesale,AXW291,30,11,9,2525.9,22733.1
SO - 0001976,07-12-2013,8,Wholesale,AXW291,27,1,11,1922.9,21151.9
SO - 0001977,08-12-2013,6,Distributor,NXH382,53,7,5,6371.7,31858.5
SO - 0001978,08-12-2013,36,Distributor,NXH382,52,5,12,3986.5,47838
SO - 0001979,08-12-2013,7,Distributor,GUT930,39,9,12,1835.8,22029.6
SO - 0001980,08-12-2013,12,Wholesale,AXW291,25,13,8,871,6968
SO - 0001981,08-12-2013,5,Wholesale,AXW291,6,13,11,3731.9,41050.9
SO - 0001982,08-12-2013,22,Distributor,GUT930,38,2,6,1976.5,11859
SO - 0001983,08-12-2013,19,Wholesale,AXW291,29,9,12,3537.6,42451.2
SO - 0001984,09-12-2013,32,Export,AXW291,24,9,12,2405.3,28863.6
SO - 0001985,09-12-2013,43,Export,GUT930,42,5,9,3075.3,27677.7
SO - 0001986,09-12-2013,29,Export,GUT930,40,11,10,221.1,2211
SO - 0001987,09-12-2013,49,Distributor,GUT930,36,7,8,891.1,7128.8
SO - 0001988,09-12-2013,49,Wholesale,GUT930,46,1,9,1226.1,11034.9
SO - 0001989,09-12-2013,28,Wholesale,AXW291,5,2,7,5721.8,40052.6
SO - 0001990,09-12-2013,23,Distributor,AXW291,21,11,6,3202.6,19215.6
SO - 0001991,10-12-2013,31,Wholesale,GUT930,45,11,5,1721.9,8609.5
SO - 0001992,10-12-2013,32,Export,NXH382,49,14,11,897.8,9875.8
SO - 0001993,10-12-2013,12,Export,NXH382,55,2,5,1051.9,5259.5
SO - 0001994,10-12-2013,43,Wholesale,GUT930,43,5,7,904.5,6331.5
SO - 0001995,10-12-2013,19,Distributor,AXW291,5,9,5,2673.3,13366.5
SO - 0001996,10-12-2013,28,Wholesale,GUT930,45,9,12,1065.3,12783.6
SO - 0001997,10-12-2013,1,Distributor,FLR025,61,11,11,2010,22110
SO - 0001998,11-12-2013,8,Wholesale,FLR025,64,1,10,850.9,8509
SO - 0001999,11-12-2013,41,Wholesale,GUT930,43,13,8,2465.6,19724.8
SO - 0002000,11-12-2013,23,Wholesale,GUT930,36,2,5,3872.6,19363
SO - 0002001,11-12-2013,40,Wholesale,NXH382,51,2,5,254.6,1273
SO - 0002002,11-12-2013,24,Distributor,AXW291,16,5,12,3182.5,38190
SO - 0002003,11-12-2013,4,Wholesale,GUT930,41,7,10,1112.2,11122
SO - 0002004,11-12-2013,12,Wholesale,GUT930,33,7,8,917.9,7343.2
SO - 0002005,11-12-2013,2,Wholesale,GUT930,34,7,10,1922.9,19229
SO - 0002006,11-12-2013,14,Wholesale,AXW291,24,1,11,1996.6,21962.6
SO - 0002007,11-12-2013,19,Distributor,AXW291,23,1,8,3966.4,31731.2
SO - 0002008,11-12-2013,27,Distributor,AXW291,20,5,9,783.9,7055.1
SO - 0002009,11-12-2013,42,Wholesale,AXW291,30,5,5,830.8,4154
SO - 0002010,12-12-2013,4,Distributor,NXH382,56,1,11,1045.2,11497.2
SO - 0002011,12-12-2013,35,Wholesale,AXW291,25,10,9,1025.1,9225.9
SO - 0002012,12-12-2013,35,Distributor,AXW291,7,5,11,5319.8,58517.8
SO - 0002013,12-12-2013,13,Export,GUT930,44,1,6,897.8,5386.8
SO - 0002014,12-12-2013,24,Wholesale,GUT930,44,11,12,1969.8,23637.6
SO - 0002015,12-12-2013,39,Wholesale,NXH382,52,7,7,1112.2,7785.4
SO - 0002016,13-12-2013,42,Wholesale,AXW291,30,1,8,1045.2,8361.6
SO - 0002017,13-12-2013,45,Wholesale,AXW291,4,5,9,1031.8,9286.2
SO - 0002018,13-12-2013,23,Wholesale,AXW291,30,13,7,2365.1,16555.7
SO - 0002019,13-12-2013,13,Distributor,NXH382,53,4,12,234.5,2814
SO - 0002020,13-12-2013,18,Wholesale,GUT930,38,13,11,2572.8,28300.8
SO - 0002021,13-12-2013,39,Distributor,GUT930,34,6,10,174.2,1742
SO - 0002022,13-12-2013,43,Export,NXH382,56,9,6,1105.5,6633
SO - 0002023,14-12-2013,9,Distributor,GUT930,35,11,8,3832.4,30659.2
SO - 0002024,14-12-2013,21,Wholesale,NXH382,58,10,12,3939.6,47275.2
SO - 0002025,14-12-2013,16,Distributor,AXW291,25,12,6,1085.4,6512.4
SO - 0002026,14-12-2013,9,Export,AXW291,11,12,9,2619.7,23577.3
SO - 0002027,14-12-2013,33,Distributor,AXW291,8,7,8,3383.5,27068
SO - 0002028,14-12-2013,1,Wholesale,NXH382,48,2,11,817.4,8991.4
SO - 0002029,14-12-2013,38,Wholesale,AXW291,9,11,5,1078.7,5393.5
SO - 0002030,15-12-2013,26,Distributor,AXW291,16,2,11,6204.2,68246.2
SO - 0002031,15-12-2013,43,Wholesale,AXW291,6,3,11,5299.7,58296.7
SO - 0002032,15-12-2013,47,Distributor,AXW291,29,13,7,201,1407
SO - 0002033,15-12-2013,34,Wholesale,AXW291,24,6,10,3396.9,33969
SO - 0002034,15-12-2013,48,Wholesale,GUT930,42,11,8,1065.3,8522.4
SO - 0002035,15-12-2013,10,Distributor,NXH382,56,1,11,3973.1,43704.1
SO - 0002036,15-12-2013,14,Wholesale,GUT930,38,12,9,1983.2,17848.8
